Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR12798348,2020-11-16 21:51:20,2020-10-08 16:25:49,7132132,2153903864,7132132,302,934,,https://sra-download.ncbi.nlm.nih.gov/traces/sra16/SRR/012498/SRR12798348,SRX9267334,T144767,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP286801,PRJNA667732,3,667732,SRS7496814,SAMN16380844,simple,74940,Oncorhynchus tshawytscha,DPCh_plate1_A01,,,,,not collected,,no,,,,,NOAA FISHERIES,SRA1139318,,public,4F2034B81C28EBC0B5647FD00562B4FF,E27D36D50B040192F286BCB967749DB2
SRR12798282,2020-11-16 21:51:21,2020-10-08 16:30:51,16653941,5029490182,16653941,302,2034,,https://sra-download.ncbi.nlm.nih.gov/traces/sra65/SRR/012498/SRR12798282,SRX9267400,T144804,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP286801,PRJNA667732,3,667732,SRS7496880,SAMN16380852,simple,74940,Oncorhynchus tshawytscha,DPCh_plate1_A02,,,,,not collected,,no,,,,,NOAA FISHERIES,SRA1139318,,public,AA9F4B50CE0D77498BDDC84209730495,D3D345BAADF1EF8D5B38D8554E126769
SRR12798319,2020-11-16 21:51:20,2020-10-08 16:25:11,7500563,2265170026,7500563,302,854,,https://sra-download.ncbi.nlm.nih.gov/traces/sra72/SRR/012498/SRR12798319,SRX9267363,T145118,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP286801,PRJNA667732,3,667732,SRS7496843,SAMN16380868,simple,74940,Oncorhynchus tshawytscha,DPCh_plate1_A04,,,,,not collected,,no,,,,,NOAA FISHERIES,SRA1139318,,public,017519F2EE3EB45C1967B5B106B7790A,ED83B22964005E18DD7CF6C9A675C279
SRR12798310,2020-11-16 21:51:21,2020-10-08 16:27:54,11704159,3534656018,11704159,302,1488,,https://sra-download.ncbi.nlm.nih.gov/traces/sra56/SRR/012498/SRR12798310,SRX9267372,T144863,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP286801,PRJNA667732,3,667732,SRS7496852,SAMN16380876,simple,74940,Oncorhynchus tshawytscha,DPCh_plate1_A05,,,,,not collected,,no,,,,,NOAA FISHERIES,SRA1139318,,public,6C2FF3641AC34362B2C85B11C298911B,F5CB93D6DCEE5421AF498E565B302AE4
SRR12798301,2020-11-16 21:51:21,2020-10-08 16:24:50,6307576,1904887952,6307576,302,772,,https://sra-download.ncbi.nlm.nih.gov/traces/sra57/SRR/012498/SRR12798301,SRX9267381,T144906,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP286801,PRJNA667732,3,667732,SRS7496861,SAMN16380884,simple,74940,Oncorhynchus tshawytscha,DPCh_plate1_A06,,,,,not collected,,no,,,,,NOAA FISHERIES,SRA1139318,,public,D91AE6682D091013FD6294BE87B86DCB,A61E60988DC47F99269C647CDFF28932
SRR12798372,2020-11-16 21:51:20,2020-10-08 16:33:41,15497144,4680137488,15497144,302,1974,,https://sra-download.ncbi.nlm.nih.gov/traces/sra60/SRR/012498/SRR12798372,SRX9267310,T145142,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP286801,PRJNA667732,3,667732,SRS7496790,SAMN16380900,simple,74940,Oncorhynchus tshawytscha,DPCh_plate1_A08,,,,,not collected,,no,,,,,NOAA FISHERIES,SRA1139318,,public,2EA07A54F0048BF412D55FC4D7104F35,EC73C42B31CFDE9880E9C7659FA1A91C
SRR12798363,2020-11-16 21:51:20,2020-10-08 16:29:00,10350869,3125962438,10350869,302,1315,,https://sra-download.ncbi.nlm.nih.gov/traces/sra79/SRR/012498/SRR12798363,SRX9267319,T144959,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP286801,PRJNA667732,3,667732,SRS7496799,SAMN16380908,simple,74940,Oncorhynchus tshawytscha,DPCh_plate1_A09,,,,,not collected,,no,,,,,NOAA FISHERIES,SRA1139318,,public,6AB664F2DE59470F12D78E2B07D03D32,76798FA5B4DDB84BBCE6E2416F34D873
SRR12798290,2020-11-16 21:51:21,2020-10-08 16:29:22,14171257,4279719614,14171257,302,1778,,https://sra-download.ncbi.nlm.nih.gov/traces/sra57/SRR/012498/SRR12798290,SRX9267392,T144980,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP286801,PRJNA667732,3,667732,SRS7496872,SAMN16380916,simple,74940,Oncorhynchus tshawytscha,DPCh_plate1_A10,,,,,not collected,,no,,,,,NOAA FISHERIES,SRA1139318,,public,09924FC5624E6A3C22101EA6FF06D4C3,2F9C2995C9E1EACD9A2D83E31CDDF824
SRR12798281,2020-11-16 21:51:21,2020-10-08 16:27:35,10949188,3306654776,10949188,302,1430,,https://sra-download.ncbi.nlm.nih.gov/traces/sra72/SRR/012498/SRR12798281,SRX9267401,T145151,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP286801,PRJNA667732,3,667732,SRS7496881,SAMN16380924,simple,74940,Oncorhynchus tshawytscha,DPCh_plate1_A11,,,,,not collected,,no,,,,,NOAA FISHERIES,SRA1139318,,public,A564B30970326EB18108356675E1D17D,9F0C91E9C8563263F7DC886F2E1FE283
SRR12798361,2020-11-16 21:51:20,2020-10-08 16:32:06,12939148,3907622696,12939148,302,1635,,https://sra-download.ncbi.nlm.nih.gov/traces/sra56/SRR/012498/SRR12798361,SRX9267321,T145192,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP286801,PRJNA667732,3,667732,SRS7496801,SAMN16380932,simple,74940,Oncorhynchus tshawytscha,DPCh_plate1_A12,,,,,not collected,,no,,,,,NOAA FISHERIES,SRA1139318,,public,900F5D6507D8C0636FC89609F69E50F4,8ACC74EBB08FBABD392D993B912D5867
